ano-mes;ano;mes;gasolina_preco_medio;etanol_preco_medio;gnv_preco_medio
2004-05;2004;5;2,086;1,289;1,13
2004-06;2004;6;2,157;1,359;1,135
2004-07;2004;7;2,203;1,381;1,152
2004-08;2004;8;2,226;1,462;1,15
2004-09;2004;9;2,232;1,487;1,151
2004-10;2004;10;2,262;1,534;1,151
2004-11;2004;11;2,214;1,445;1,091
2004-12;2004;12;2,303;1,478;1,096
2005-01;2005;1;2,296;1,46;1,103
2005-02;2005;2;2,285;1,448;1,104
2005-03;2005;3;2,291;1,444;1,104
2005-04;2005;4;2,302;1,451;1,106
2005-05;2005;5;2,283;1,354;1,107
2005-06;2005;6;2,256;1,21;1,139
2005-07;2005;7;2,267;1,256;1,142
2005-08;2005;8;2,273;1,271;1,136
2005-09;2005;9;2,401;1,308;1,193
2005-10;2005;10;2,47;1,434;1,189
2005-11;2005;11;2,478;1,45;1,204
2005-12;2005;12;2,483;1,536;1,208
2006-01;2006;1;2,511;1,693;1,202
2006-02;2006;2;2,523;1,732;1,225
2006-03;2006;3;2,587;1,95;1,24
2006-04;2006;4;2,595;1,943;1,25
2006-05;2006;5;2,582;1,71;1,251
2006-06;2006;6;2,545;1,555;1,251
2006-07;2006;7;2,557;1,571;1,238
2006-08;2006;8;2,559;1,576;1,267
2006-09;2006;9;2,554;1,515;1,27
2006-10;2006;10;2,547;1,466;1,272
2006-11;2006;11;2,538;1,448;1,266
2006-12;2006;12;2,531;1,448;1,269
2007-01;2007;1;2,523;1,544;1,271
2007-02;2007;2;2,516;1,545;1,271
2007-03;2007;3;2,518;1,54;1,269
2007-04;2007;4;2,532;1,63;1,268
2007-05;2007;5;2,54;1,626;1,338
2007-06;2007;6;2,527;1,463;1,349
2007-07;2007;7;2,507;1,351;1,348
2007-08;2007;8;2,487;1,305;1,354
2007-09;2007;9;2,471;1,279;1,354
2007-10;2007;10;2,475;1,268;1,371
2007-11;2007;11;2,487;1,36;1,373
2007-12;2007;12;2,509;1,467;1,378
2008-01;2008;1;2,505;1,464;1,436
2008-02;2008;2;2,488;1,42;1,453
2008-03;2008;3;2,493;1,439;1,453
2008-04;2008;4;2,493;1,437;1,452
2008-05;2008;5;2,494;1,441;1,468
2008-06;2008;6;2,49;1,414;1,556
2008-07;2008;7;2,495;1,423;1,599
2008-08;2008;8;2,5;1,428;1,637
2008-09;2008;9;2,506;1,449;1,651
2008-10;2008;10;2,508;1,471;1,657
2008-11;2008;11;2,513;1,478;1,67
2008-12;2008;12;2,518;1,476;1,715
2009-01;2009;1;2,516;1,477;1,767
2009-02;2009;2;2,518;1,499;1,73
2009-03;2009;3;2,514;1,478;1,715
2009-04;2009;4;2,5;1,425;1,69
2009-05;2009;5;2,487;1,388;1,661
2009-06;2009;6;2,488;1,34;1,608
2009-07;2009;7;2,492;1,374;1,578
2009-08;2009;8;2,498;1,4;1,57
2009-09;2009;9;2,488;1,447;1,548
2009-10;2009;10;2,528;1,616;1,567
2009-11;2009;11;2,551;1,675;1,577
2009-12;2009;12;2,556;1,703;1,587
2010-01;2010;1;2,586;1,89;1,579
2010-02;2010;2;2,611;1,943;1,584
2010-03;2010;3;2,578;1,763;1,595
2010-04;2010;4;2,555;1,629;1,582
2010-05;2010;5;2,55;1,545;1,608
2010-06;2010;6;2,534;1,475;1,607
2010-07;2010;7;2,534;1,501;1,607
2010-08;2010;8;2,542;1,549;1,613
2010-09;2010;9;2,544;1,566;1,611
2010-10;2010;10;2,572;1,673;1,616
2010-11;2010;11;2,589;1,721;1,618
2010-12;2010;12;2,602;1,778;1,572
2011-01;2011;1;2,612;1,835;1,552
2011-02;2011;2;2,622;1,872;1,555
2011-03;2011;3;2,67;2,083;1,566
2011-04;2011;4;2,824;2,301;1,602
2011-05;2011;5;2,842;2,032;1,627
2011-06;2011;6;2,738;1,859;1,631
2011-07;2011;7;2,735;1,932;1,618
2011-08;2011;8;2,736;1,946;1,617
2011-09;2011;9;2,742;2,006;1,611
2011-10;2011;10;2,75;2,005;1,614
2011-11;2011;11;2,746;2,03;1,61
2011-12;2011;12;2,75;2,055;1,623
2012-01;2012;1;2,743;2,034;1,632
2012-02;2012;2;2,734;1,982;1,635
2012-03;2012;3;2,74;1,997;1,634
2012-04;2012;4;2,742;1,986;1,694
2012-05;2012;5;2,737;1,967;1,711
2012-06;2012;6;2,731;1,938;1,726
2012-07;2012;7;2,729;1,909;1,734
2012-08;2012;8;2,725;1,89;1,739
2012-09;2012;9;2,723;1,888;1,74
2012-10;2012;10;2,731;1,888;1,741
2012-11;2012;11;2,747;1,896;1,742
2012-12;2012;12;2,754;1,936;1,757
2013-01;2013;1;2,763;1,956;1,764
2013-02;2013;2;2,887;2;1,77
2013-03;2013;3;2,886;2,058;1,776
2013-04;2013;4;2,876;2,064;1,784
2013-05;2013;5;2,862;2,029;1,777
2013-06;2013;6;2,848;1,943;1,786
2013-07;2013;7;2,839;1,918;1,792
2013-08;2013;8;2,835;1,902;1,785
2013-09;2013;9;2,834;1,895;1,787
2013-10;2013;10;2,834;1,914;1,79
2013-11;2013;11;2,841;1,932;1,792
2013-12;2013;12;2,946;2,022;1,812
2014-01;2014;1;2,956;2,047;1,825
2014-02;2014;2;2,955;2,074;1,83
2014-03;2014;3;2,98;2,168;1,841
2014-04;2014;4;2,988;2,177;1,859
2014-05;2014;5;2,978;2,134;1,871
2014-06;2014;6;2,966;2,071;1,888
2014-07;2014;7;2,957;2,042;1,892
2014-08;2014;8;2,96;2,034;1,916
2014-09;2014;9;2,963;2,005;1,9
2014-10;2014;10;2,96;1,999;1,903
2014-11;2014;11;3,009;2,016;1,907
2014-12;2014;12;3,031;2,041;1,913
2015-01;2015;1;3,032;2,061;1,926
2015-02;2015;2;3,301;2,224;1,944
2015-03;2015;3;3,323;2,226;1,955
2015-04;2015;4;3,308;2,179;1,986
2015-05;2015;5;3,299;2,141;2,005
2015-06;2015;6;3,301;2,112;2,023
2015-07;2015;7;3,296;2,081;2,057
2015-08;2015;8;3,295;2,061;2,099
2015-09;2015;9;3,277;2,074;2,146
2015-10;2015;10;3,48;2,365;2,183
2015-11;2015;11;3,576;2,578;2,208
2015-12;2015;12;3,633;2,659;2,225
2016-01;2016;1;3,676;2,718;2,244
2016-02;2016;2;3,71;2,808;2,251
2016-03;2016;3;3,73;2,869;2,253
2016-04;2016;4;3,717;2,741;2,251
2016-05;2016;5;3,674;2,478;2,241
2016-06;2016;6;3,646;2,466;2,231
2016-07;2016;7;3,638;2,434;2,235
2016-08;2016;8;3,651;2,485;2,212
2016-09;2016;9;3,648;2,51;2,224
2016-10;2016;10;3,662;2,676;2,201
2016-11;2016;11;3,671;2,812;2,221
2016-12;2016;12;3,734;2,831;2,214
2017-01;2017;1;3,768;2,91;2,218
2017-02;2017;2;3,755;2,884;2,284
2017-03;2017;3;3,687;2,745;2,302
2017-04;2017;4;3,635;2,639;2,298
2017-05;2017;5;3,617;2,584;2,316
2017-06;2017;6;3,548;2,485;2,334
2017-07;2017;7;3,553;2,46;2,342
2017-08;2017;8;3,781;2,611;2,368
2017-09;2017;9;3,881;2,633;2,376
2017-10;2017;10;3,895;2,668;2,387
2017-11;2017;11;4,004;2,79;2,42
2017-12;2017;12;4,085;2,879;2,421
2018-01;2018;1;4,189;2,984;2,468
2018-02;2018;2;4,208;3,023;2,519
2018-03;2018;3;4,199;3,032;2,551
2018-04;2018;4;4,215;2,972;2,562
2018-05;2018;5;4,314;2,811;2,64
2018-06;2018;6;4,552;2,933;2,685
2018-07;2018;7;4,492;2,785;2,712
2018-08;2018;8;4,447;2,656;2,798
2018-09;2018;9;4,625;2,798;2,851
2018-10;2018;10;4,717;2,934;2,88
2018-11;2018;11;4,59;2,917;3,005
2018-12;2018;12;4,365;2,828;3,052
2019-01;2019;1;4,268;2,812;3,084
2019-02;2019;2;4,19;2,783;3,131
2019-03;2019;3;4,305;2,95;3,154
2019-04;2019;4;4,437;3,002;3,168
2019-05;2019;5;4,552;2,99;3,162
2019-06;2019;6;4,468;2,819;3,161
2019-07;2019;7;4,351;2,776;3,148
2019-08;2019;8;4,316;2,829;3,157
2019-09;2019;9;4,326;2,851;3,156
2019-10;2019;10;4,38;2,906;3,181
2019-11;2019;11;4,413;2,974;3,188
2019-12;2019;12;4,531;3,125;3,203
2020-01;2020;1;4,579;3,226;3,211
2020-02;2020;2;4,55;3,248;3,209
2020-03;2020;3;4,462;3,196;3,195
2020-04;2020;4;4,066;2,784;3,184
2020-05;2020;5;3,818;2,55;3,098
2020-06;2020;6;3,964;2,655;3,08
2020-07;2020;7;4,144;2,739;3,062
2020-08;2020;8;4,237;2,768;3,015
2020-10;2020;10;4,358;3,006;2,879
2020-11;2020;11;4,406;3,103;2,965
2020-12;2020;12;4,483;3,179;3,09
2021-01;2021;1;4,622;3,221;3,187
2021-02;2021;2;4,951;3,429;3,207
2021-03;2021;3;5,484;4,038;3,262
2021-04;2021;4;5,448;3,826;3,276
2021-05;2021;5;5,604;4,25;3,834
2021-06;2021;6;5,687;4,358;3,876
2021-07;2021;7;5,807;4,318;3,938
2021-08;2021;8;5,933;4,476;4,037
2021-09;2021;9;6,078;4,698;4,136
2021-10;2021;10;6,341;4,883;4,145
2021-11;2021;11;6,744;5,37;4,299
2021-12;2021;12;6,67;5,141;4,341
2022-01;2022;1;6,635;5,038;4,452
2022-02;2022;2;6,6;4,744;4,635
2022-03;2022;3;7,012;4,842;4,726
2022-04;2022;4;7,245;5,326;4,764
2022-05;2022;5;7,28;5,27;5,24
2022-06;2022;6;7,25;4,9;5,3
2022-07;2022;7;6,05;4,36;5,1
2022-08;2022;8;5,39;3,95;5,05
2022-09;2022;9;5;3,48;4,99
2022-10;2022;10;4,89;3,56;4,9
2022-11;2022;11;5,04;3,83;4,8
2022-12;2022;12;4,97;3,84;4,77
2023-01;2023;1;5,05;3,88;4,73
